dip_cm,volume_ltrs,diff_ltrs
1,9.65,0.97
2,27.33,1.77
3,58.18,2.29
4,77.18,2.78
5,87.74,3.06
6,141.46,3.37
7,178.82,3.66
8,217.28,3.92
9,258.89,4.16
10,302.67,4.39
11,348.67,4.68
12,396.69,4.88
13,446.61,4.99
14,498.36,5.17
15,551.84,5.35
16,606.98,5.51
17,663.72,5.67
18,721.99,5.83
19,786.73,5.97
20,812.89,6.12
21,915.43,6.25
22,969.29,6.39
23,1034.43,6.51
24,1100.81,6.64
25,1168.38,6.76
26,1237.12,6.87
27,1306.99,6.99
28,1377.96,7.18
29,1449.98,7.28
30,1523.84,7.31
31,1597.18,7.41
32,1672.14,7.85
33,1748.13,7.69
34,1825.83,7.69
35,1902.84,7.87
36,1981.51,7.87
37,2061.84,7.95
38,2141.39,8.04
39,2222.55,8.12
40,2304.49,8.19
41,2387.19,8.27
42,2478.64,8.34
43,2554.81,8.42
44,2639.68,8.49
45,2725.23,8.62
46,2811.46,8.60
47,2898.33,8.75
48,2985.84,8.75
49,3073.95,8.81
50,3162.67,8.87
51,3251.97,8.93
52,3341.83,8.99
53,3432.25,9.04
54,3523.21,9.09
55,3614.66,9.15
56,3706.64,9.21
57,3799.11,9.25
58,3892.04,9.29
59,3985.43,9.34
60,4079.28,9.38
61,4173.56,9.43
62,4268.26,9.47
63,4363.36,9.51
64,4458.86,9.55
65,4554.78,9.59
66,4650.98,9.62
67,4747.58,9.66
68,4844.52,9.69
69,4941.79,9.73
70,5039.37,9.76
71,5137.26,9.79
72,5235.44,9.82
73,5333.91,9.85
74,5432.64,9.87
75,5531.62,9.91
76,5630.81,9.92
77,5730.32,9.95
78,5830.01,9.97
79,5929.91,9.99
80,6029.99,10.01
81,6130.27,10.03
82,6230.73,10.05
83,6331.35,10.06
84,6432.12,10.08
85,6533.03,10.09
86,6634.08,10.11
87,6735.25,10.12
88,6836.52,10.13
89,6937.89,10.14
90,7039.35,10.15
91,7140.89,10.15
92,7242.49,10.16
93,7344.44,10.16
94,7445.84,10.17
95,7547.57,10.17
96,7649.32,10.18
97,7751.08,10.18
98,7852.85,10.18
99,7954.60,10.18
100,8056.33,10.17
101,8158.03,10.17
102,8259.68,10.16
103,8361.28,10.15
104,8462.82,10.15
105,8564.28,10.14
106,8665.85,10.14
107,8766.92,10.13
108,8868.89,10.12
109,8969.01,10.11
110,9070.05,10.09
111,9170.82,10.08
112,9271.44,10.06
113,9371.91,10.05
114,9472.18,10.03
115,9572.27,10.01
116,9672.17,9.99
117,9771.85,9.97
118,9871.32,9.95
119,9970.55,9.92
120,10069.53,9.91
121,10168.26,9.87
122,10266.73,9.85
123,10364.91,9.82
124,10462.81,9.77
125,10560.38,9.76
126,10657.65,9.73
127,10754.59,9.69
128,10851.19,9.66
129,10947.43,9.62
130,11043.31,9.59
131,11138.81,9.55
132,11233.91,9.51
133,11328.60,9.47
134,11424.89,9.43
135,11516.74,9.38
136,11610.13,9.34
137,11703.07,9.29
138,11795.53,9.25
139,11887.51,9.21
140,11978.97,9.15
141,12069.92,9.09
142,12160.33,9.04
143,12250.21,8.99
144,12339.51,8.93
145,12428.21,8.87
146,12516.33,8.81
147,12603.84,8.75
148,12690.71,8.69
149,12776.93,8.62
150,12862.49,8.56
151,12947.36,8.49
152,13031.53,8.42
153,13114.98,8.34
154,13197.68,8.27
155,13279.62,8.19
156,13360.78,
157,13441.13,
158,13520.66,
159,13599.33,
160,13677.14,
161,13754.64,
162,13838.83,
163,13985.87,
164,14052.19,
165,14124.21,
166,14195.18,
167,14265.85,
168,14333.79,
169,14401.37,
170,14467.74,
171,14532.88,
172,14596.74,
173,14659.28,
174,14721.44,
175,14781.18,
176,14838.45,
177,14895.19,
178,14958.33,
179,15003.81,
180,15085.56,
181,15153.51,
182,15199.51,
183,15243.37,
184,15284.97,
185,15334.15,
186,15368.71,
187,15394.42,
188,15424.99,
189,15451.99,
190,15474.84,
191,15492.52,
192,15582.17,
